epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.902,0.94667,3.06122,1.39721,0.4217,0.51305,0.42841,0.29237,1.071,2.17208,1.626,0.000255575,0.000255575,0.000255575
2,154.309,1.001,2.15043,1.40548,0.44947,0.47091,0.48791,0.3445,0.98662,1.95552,1.47027,0.000501773,0.000501773,0.000501773
3,228.815,0.98866,1.90605,1.39054,0.49175,0.58158,0.5105,0.36982,0.96099,1.65694,1.50484,0.000737819,0.000737819,0.000737819
4,301.393,0.97937,1.73311,1.38395,0.50353,0.60512,0.56322,0.41103,0.88247,1.48094,1.4134,0.000723321,0.000723321,0.000723321
5,372.653,0.96029,1.63419,1.38026,0.54994,0.58491,0.59512,0.42639,0.98966,1.62494,1.54054,0.000708095,0.000708095,0.000708095
6,449.441,0.93491,1.54957,1.36015,0.64653,0.62681,0.61771,0.44555,0.91389,1.45595,1.45458,0.000692869,0.000692869,0.000692869
7,525.557,0.92584,1.43433,1.34633,0.651,0.55666,0.62301,0.46949,0.86702,1.3074,1.40624,0.000677643,0.000677643,0.000677643
8,602.65,0.90287,1.34214,1.32496,0.68209,0.58073,0.65069,0.51156,0.83196,1.31924,1.41394,0.000662417,0.000662417,0.000662417
9,676.215,0.88141,1.31673,1.31067,0.60341,0.68392,0.66905,0.49592,0.86892,1.2792,1.4369,0.00064719,0.00064719,0.00064719
10,754.79,0.87364,1.24317,1.30388,0.61285,0.68626,0.68895,0.51971,0.85826,1.17263,1.40055,0.000631964,0.000631964,0.000631964
11,835.066,0.86818,1.20126,1.2941,0.65594,0.71652,0.70383,0.51322,0.86445,1.15641,1.41415,0.000616738,0.000616738,0.000616738
12,912.698,0.84675,1.16572,1.28519,0.64689,0.70192,0.70443,0.53615,0.84649,1.20313,1.40507,0.000601512,0.000601512,0.000601512
13,986.315,0.84522,1.14227,1.28887,0.65029,0.73742,0.70666,0.53978,0.84903,1.12836,1.41612,0.000586286,0.000586286,0.000586286
14,1046.62,0.82742,1.12703,1.27488,0.6576,0.68297,0.70362,0.54098,0.77962,1.15519,1.35536,0.000571059,0.000571059,0.000571059
15,1098.68,0.82956,1.08187,1.26481,0.69796,0.66025,0.69849,0.53637,0.8101,1.13589,1.37868,0.000555833,0.000555833,0.000555833
16,1154.27,0.82871,1.04741,1.26734,0.64519,0.69693,0.66169,0.50797,0.86826,1.16373,1.41851,0.000540607,0.000540607,0.000540607
17,1209.18,0.8085,1.0008,1.25419,0.76215,0.65133,0.73379,0.5569,0.78412,1.08731,1.31361,0.000525381,0.000525381,0.000525381
18,1262.02,0.81235,1.02165,1.25693,0.69584,0.75074,0.75719,0.57593,0.776,1.03009,1.32403,0.000510155,0.000510155,0.000510155
19,1320.36,0.7979,0.97147,1.24981,0.69563,0.7513,0.75544,0.59845,0.72249,0.99367,1.28518,0.000494928,0.000494928,0.000494928
20,1378.52,0.79619,0.95268,1.24436,0.74875,0.66277,0.71662,0.54817,0.78005,1.05939,1.33364,0.000479702,0.000479702,0.000479702
21,1431.12,0.78485,0.93527,1.23598,0.70975,0.70079,0.74344,0.58196,0.77486,1.00815,1.33022,0.000464476,0.000464476,0.000464476
22,1487.01,0.77961,0.90128,1.23046,0.74826,0.63545,0.73773,0.55788,0.82119,1.09358,1.40258,0.00044925,0.00044925,0.00044925
23,1541.87,0.76739,0.89157,1.22007,0.6744,0.72013,0.71388,0.54256,0.77078,1.09351,1.3712,0.000434024,0.000434024,0.000434024
24,1596.45,0.76563,0.87404,1.21722,0.7086,0.65565,0.71962,0.54882,0.75029,1.10679,1.31853,0.000418797,0.000418797,0.000418797
25,1650.64,0.76763,0.85077,1.21443,0.65506,0.70007,0.70304,0.55973,0.76245,1.10482,1.32773,0.000403571,0.000403571,0.000403571
26,1708.68,0.75025,0.83192,1.20649,0.70229,0.67194,0.72988,0.5746,0.74317,1.0458,1.30469,0.000388345,0.000388345,0.000388345
27,1760.41,0.72995,0.7933,1.19701,0.66312,0.76868,0.76507,0.58297,0.73633,1.01153,1.30078,0.000373119,0.000373119,0.000373119
